Ensembl_ID	start	end	gene_name	chromosome
ENSG00000278487	43143362	43143514	AC106800.3	5
ENSG00000177453	43192071	43280850	NIM1K	5
ENSG00000067177	72578814	72714319	PHKA1	X
ENSG00000249779	43206709	43207811	AC106800.1	5
ENSG00000249888	43225506	43225813	AC106800.2	5
ENSG00000258448	73068108	73068618	AL442663.2	14
ENSG00000225858	72660470	72660719	MATR3P1	X
ENSG00000247763	43231812	43233173	TUBAP14	5
ENSG00000231944	72688950	72712348	PHKA1-AS1	X
ENSG00000273788	72726122	72726337	U3	X
ENSG00000213698	72727977	72728821	CAPZA1P3	X
ENSG00000201271	72740706	72740869	RNU1-112P	X
ENSG00000138303	72096032	72217134	ASCC1	10
ENSG00000138764	77157207	77433388	CCNG2	4
ENSG00000184911	72777009	72848802	DMRTC1B	X
ENSG00000133739	85107215	85146080	LRRCC1	8
ENSG00000270669	77216416	77216878	AC008638.3	4
ENSG00000111665	6844793	6851292	CDCA3	12
ENSG00000250006	77311397	77312111	AC008638.2	4
ENSG00000248831	77350370	77351235	AC008638.1	4
ENSG00000249036	77394491	77494286	AC092674.1	4
ENSG00000269911	72777608	72779097	FAM226B	X
ENSG00000268994	72781865	72782660	FAM236B	X
ENSG00000156234	77511753	77611834	CXCL13	4
ENSG00000225396	72807425	72808210	FAM236D	X
ENSG00000221711	77702746	77702803	AC104701.1	4
ENSG00000112972	43287470	43313512	HMGCS1	5
ENSG00000204444	31652416	31658210	APOM	6
ENSG00000269502	72872025	72943814	DMRTC1	X
ENSG00000200294	72180858	72180989	AL607035.1	10
ENSG00000261604	43287601	43290839	AC114947.2	5
ENSG00000226701	72189941	72190576	RPL15P14	10
ENSG00000188850	43336164	43348716	AC114947.1	5
ENSG00000166295	72216000	72235860	ANAPC16	10
ENSG00000260493	85172077	85177062	AC011773.4	8
ENSG00000204439	31658298	31660778	C6orf47	6
ENSG00000283594	72912615	72913401	FAM236C	X
ENSG00000151882	43376645	43412391	CCL28	5
ENSG00000227198	31658329	31660721	C6orf47-AS1	6
ENSG00000275520	72938163	72938958	FAM236A	X
ENSG00000226725	72998388	73002856	PABPC1L2B-AS1	X
ENSG00000184388	73002939	73006106	PABPC1L2B	X
ENSG00000200170	72220752	72220852	Y_RNA	10
ENSG00000186288	73077276	73079512	PABPC1L2A	X
ENSG00000231963	73080167	73084635	AL662864.1	X
ENSG00000168209	72273924	72276036	DDIT4	10
ENSG00000204118	73126037	73128080	NAP1L6P	X
ENSG00000186462	73212299	73214851	NAP1L2	X
ENSG00000138767	77713387	77819615	CNOT6L	4
ENSG00000269926	72274915	72275980	DDIT4-AS1	10
ENSG00000230311	73223124	73223558	TOMM20P4	X
ENSG00000237014	73237647	73238709	LRRFIP2P1	X
ENSG00000151881	43444252	43483893	TMEM267	5
ENSG00000225664	73274785	73275515	YWHAZP8	X
ENSG00000207486	73397531	73397637	RNU6-1044P	X
ENSG00000131264	73447254	73455245	CDX4	X
ENSG00000204438	31661228	31666283	GPANK1	6
ENSG00000233162	73474563	73474830	MORF4L1P6	X
ENSG00000269904	73524275	73563085	MAP2K4P1	X
ENSG00000249492	43483913	43509356	AC114956.2	5
ENSG00000237475	73535503	73536241	RPL7P53	X
ENSG00000074603	65442463	65517704	DPP8	15
ENSG00000080815	73136418	73223691	PSEN1	14
ENSG00000148719	72332830	72355149	DNAJB12	10
ENSG00000204116	73563200	73687102	CHIC1	X
ENSG00000172244	43486709	43515148	C5orf34	5
ENSG00000133740	85177154	85217158	E2F5	8
ENSG00000230146	73769248	73770423	SEPHS1P4	X
ENSG00000249855	43495073	43496454	EEF1A1P19	5
ENSG00000169288	77862830	77952785	MRPL1	4
ENSG00000270641	73792205	73829231	TSIX	X
ENSG00000248554	43511058	43521811	C5orf34-AS1	5
ENSG00000179889	14974591	15139339	PDXDC1	16
ENSG00000248240	43515274	43525310	AC114956.1	5
ENSG00000250214	77864508	77864804	AC112225.1	4
ENSG00000270690	65458574	65459534	AC105129.3	15
ENSG00000259232	65475318	65475614	AC105129.1	15
ENSG00000248926	77958000	77958780	AC114801.2	4
ENSG00000252217	65502741	65502836	Y_RNA	15
ENSG00000248956	77963940	77964511	HMGB1P44	4
ENSG00000248640	77987860	77988813	HNRNPA1P56	4
ENSG00000248128	78003143	78003439	AC114801.1	4
ENSG00000249072	78008512	78008688	AC114801.3	4
ENSG00000111667	6852148	6866632	USP5	12
ENSG00000201207	31663288	31663401	Y_RNA	6
ENSG00000254208	85177522	85178150	AC011773.1	8
ENSG00000111669	6867119	6870948	TPI1	12
ENSG00000229807	73820649	73852723	XIST	X
ENSG00000204435	31665227	31670343	CSNK2B	6
ENSG00000107745	72367327	72626191	MICU1	10
ENSG00000032444	7534004	7561764	PNPLA6	19
ENSG00000274655	73821657	73821724	AL353804.4	X
ENSG00000277577	73831145	73831270	AL353804.6	X
ENSG00000278039	73850487	73850571	AL353804.7	X
ENSG00000182707	73875068	73875635	FXYD6P3	X
ENSG00000176731	85214048	85220421	RBIS	8
ENSG00000146648	55019017	55211628	EGFR	7
ENSG00000261819	14988259	14990160	AC138932.2	16
ENSG00000238728	15010321	15010397	MIR1972-1	16
ENSG00000275910	15015828	15016390	AC138932.4	16
ENSG00000263020	31666102	31673546	AL662899.2	6
ENSG00000230590	73940435	74293574	FTX	X
ENSG00000172239	43526267	43557758	PAIP1	5
ENSG00000111671	6870935	6889358	SPSB2	12
ENSG00000240053	31670167	31673776	LY6G5B	6
ENSG00000138759	78057323	78544269	FRAS1	4
ENSG00000074696	65530418	65578349	HACD3	15
ENSG00000240370	6873389	6884741	RPL13P5	12
ENSG00000224057	55179750	55188934	EGFR-AS1	7
ENSG00000202513	72391964	72392069	RNU6-805P	10
ENSG00000282915	72467749	72473304	AC091769.1	10
ENSG00000276531	72483245	72483812	SNX19P4	10
ENSG00000280890	55235965	55255635	ELDR	7
ENSG00000226163	72501746	72502956	AL513185.1	10
ENSG00000230609	72560264	72560456	AL513185.2	10
ENSG00000237210	55244247	55245681	AC073324.1	7
ENSG00000272536	72582803	72583086	RN7SL840P	10
ENSG00000231471	72636497	72636765	HMGN2P34	10
ENSG00000230564	55259809	55260256	CALM1P2	7
ENSG00000204428	31676684	31684040	LY6G5C	6
ENSG00000238215	72643011	72644650	AL513185.3	10
ENSG00000230936	55342316	55344958	AC073347.1	7
ENSG00000201881	72654165	72654276	Y_RNA	10
ENSG00000185015	85220587	85284073	CA13	8
ENSG00000248092	43571594	43603230	NNT-AS1	5
ENSG00000157045	15037854	15056079	NTAN1	16
ENSG00000148337	128161251	128204383	CIZ1	9
ENSG00000279557	43586367	43587543	AC010435.1	5
ENSG00000207449	65553081	65553187	RNU6-19P	15
ENSG00000258256	85222446	85245717	AC011773.3	8
ENSG00000249286	43586918	43588223	AMD1P3	5
ENSG00000259109	73189763	73190004	AC004858.1	14
ENSG00000249565	78180866	78182046	SERBP1P5	4
ENSG00000257962	85246295	85249848	AC011773.2	8
ENSG00000248117	78379197	78379514	MICOS10P4	4
ENSG00000156026	72692131	72887694	MCU	10
ENSG00000132434	55365448	55433742	LANCL2	7
ENSG00000076826	7595863	7618304	CAMSAP3	19
ENSG00000138614	65578753	65611289	INTS14	15
ENSG00000273657	7617439	7617505	MIR6792	19
ENSG00000204427	31686955	31703356	ABHD16A	6
ENSG00000266719	72721029	72721100	MIR4676	10
ENSG00000280166	72730557	72731175	AC016542.3	10
ENSG00000279502	72756398	72757016	AC016542.2	10
ENSG00000272627	72766560	72767052	AC016542.1	10
ENSG00000010626	6873569	6914241	LRRC23	12
ENSG00000138315	72893584	72933036	OIT3	10
ENSG00000154978	55436056	55572988	VOPP1	7
ENSG00000215086	72917641	72918534	NPM1P24	10
ENSG00000138308	72934762	72954806	PLA2G12B	10
ENSG00000213700	73005833	73006595	RPL17P50	10
ENSG00000076924	7619525	7629545	XAB2	19
ENSG00000229833	7629793	7631956	PET100	19
ENSG00000248593	6884682	6885786	DSTNP2	12
ENSG00000275703	6899752	6900212	U47924.3	12
ENSG00000138772	78551747	78610451	ANXA3	4
ENSG00000268400	7629796	7643048	AC008763.2	19
ENSG00000085721	15060033	15094311	RRN3	16
ENSG00000223475	55573171	55588336	AC099681.1	7
ENSG00000200998	78632273	78632385	Y_RNA	4
ENSG00000233977	55592074	55593193	AC099681.3	7
ENSG00000260735	15094411	15109197	AC139256.1	16
ENSG00000231394	55593777	55595006	AC099681.2	7
ENSG00000234844	55638274	55638842	CDC42P2	7
ENSG00000235207	55645620	55646951	TUBBP6	7
ENSG00000174788	7631611	7633719	PCP2	19
ENSG00000188599	15104312	15123498	NPIPP1	16
ENSG00000112992	43602692	43707405	NNT	5
ENSG00000231317	55656768	55678490	AC091812.1	7
ENSG00000106976	128191655	128255248	DNM1	9
ENSG00000268204	7633766	7636990	AC008763.1	19
ENSG00000176826	55681074	55713252	FKBP9P1	7
ENSG00000251442	78638780	78683185	LINC01094	4
ENSG00000270580	15104723	15131601	PKD1P6-NPIPP1	16
ENSG00000252857	55685977	55686081	RNU6-389P	7
ENSG00000275853	55731100	55731403	Metazoa_SRP	7
ENSG00000250251	15125242	15154564	PKD1P6	16
ENSG00000074621	65611366	65660995	SLC24A1	15
ENSG00000224971	55732144	55732431	SUMO2P3	7
ENSG00000237799	55736779	55739605	CICP11	7
ENSG00000275875	55741525	55741869	AC091812.3	7
ENSG00000273720	55743073	55743457	AC091812.2	7
ENSG00000111674	6913745	6923698	ENO2	12
ENSG00000283346	15134075	15134145	MIR6511B2	16
ENSG00000207294	15150697	15150796	Y_RNA	16
ENSG00000264115	15154850	15155002	MIR3180-4	16
ENSG00000226278	55764797	55773288	PSPHP1	7
ENSG00000257391	15154903	15157020	AC126763.1	16
ENSG00000206729	55789368	55789474	RNU6-1126P	7
ENSG00000277770	15358978	15362674	AC137803.1	16
ENSG00000251019	78648954	78649242	HIGD1AP13	4
ENSG00000287632	78669690	78691671	AC112253.1	4
ENSG00000122884	73007217	73096974	P4HA1	10
ENSG00000239793	78768499	78768750	AC098818.1	4
ENSG00000154997	55793540	55862755	SEPTIN14	7
ENSG00000260278	78773654	78775973	AC098818.2	4
ENSG00000183793	15363628	15381047	NPIPA5	16
ENSG00000235738	55797946	55798480	AC092647.4	7
ENSG00000261130	15395754	15515348	AC140504.1	16
ENSG00000225270	55798034	55798876	CICP12	7
ENSG00000229762	55810779	55811411	AC092647.3	7
ENSG00000225018	55876738	55877024	AC092647.1	7
ENSG00000227499	55877912	55878164	AC092647.2	7
ENSG00000156968	15395754	15413271	MPV17L	16
ENSG00000249773	55887277	55955239	AC092647.5	7
ENSG00000138756	78776342	78916372	BMP2K	4
ENSG00000232646	73065126	73065467	AL731563.1	10
ENSG00000237768	73071295	73074008	AL731563.2	10
ENSG00000100767	73237497	73274640	PAPLN	14
ENSG00000178665	55887456	55942530	ZNF713	7
ENSG00000201047	73082494	73082595	Y_RNA	10
ENSG00000272630	73098044	73101297	AL731563.3	10
ENSG00000076944	7636881	7647873	STXBP2	19
ENSG00000266270	78820752	78820821	AC098818.3	4
ENSG00000166780	15434475	15625028	BMERB1	16
ENSG00000204422	31686962	31714072	AL662899.1	6
ENSG00000266776	31701029	31701091	MIR4646	6
ENSG00000163291	78887127	78939438	PAQR3	4
ENSG00000204424	31706866	31710679	LY6G6F	6
ENSG00000166321	73110375	73131828	NUDT13	10
ENSG00000250641	31706904	31717918	LY6G6F-LY6G6D	6
ENSG00000258376	73242651	73245979	AC004846.1	14
ENSG00000146729	55951793	56000181	NIPSNAP2	7
ENSG00000252839	73246818	73246880	RNU6-419P	14
ENSG00000258944	73272182	73274081	AC004846.2	14
ENSG00000255552	31711771	31714065	LY6G6E	6
ENSG00000275638	65655620	65656085	AC011939.3	15
ENSG00000133742	85327608	85379014	CA1	8
ENSG00000244355	31715356	31717804	LY6G6D	6
ENSG00000174485	65658046	65792293	DENND4A	15
ENSG00000242175	78898855	78899154	RN7SL127P	4
ENSG00000249307	78939485	79309673	LINC01088	4
ENSG00000225470	73944182	74070408	JPX	X
ENSG00000111676	6924463	6942321	ATN1	12
ENSG00000204420	31718594	31726714	MPIG6B	6
ENSG00000111678	6942978	6946003	C12orf57	12
ENSG00000156269	79225694	79326061	NAA11	4
ENSG00000196475	79406361	79408228	GK2	4
ENSG00000250334	79491802	79623479	LINC00989	4
ENSG00000239789	55951877	55956500	MRPS17	7
ENSG00000272173	6943508	6944604	U47924.2	12
ENSG00000238923	6943816	6943878	RNU7-1	12
ENSG00000249646	79587302	79588130	OR7E94P	4
ENSG00000251399	79596542	79597173	AC092542.1	4
ENSG00000248408	79663761	79696837	LINC02469	4
ENSG00000251321	79827471	79877770	PCAT4	4
ENSG00000212620	79843102	79843228	SNORA75	4
ENSG00000164879	85373436	85449040	CA3	8
ENSG00000272599	73124573	73125532	AC016394.1	10
ENSG00000221164	73126080	73126207	SNORA11F	10
ENSG00000253549	85440596	85464915	CA3-AS1	8
ENSG00000122882	73130155	73169055	ECD	10
ENSG00000274430	73944332	73944466	AL353804.3	X
ENSG00000276784	73944595	73944663	AL353804.5	X
ENSG00000228906	73948973	73949558	AL353804.1	X
ENSG00000146733	56011051	56051604	PSPH	7
ENSG00000271199	73958059	73969485	AL353804.2	X
ENSG00000233984	74031462	74031820	RPSAP14	X
ENSG00000203397	74066083	74066592	SHISA5P2	X
ENSG00000166783	15594387	15643154	MARF1	16
ENSG00000234969	74069276	74070832	AARSD1P1	X
ENSG00000223650	74105572	74107958	UHRF2P1	X
ENSG00000232928	74121012	74131923	DDX3P1	X
ENSG00000280375	74122134	74122725	AL359740.1	X
ENSG00000230986	74133004	74133114	DDX3P2	X
ENSG00000224430	74161062	74162528	MKRN5P	X
ENSG00000231549	74173890	74174066	ATP5MDP1	X
ENSG00000238311	65696833	65696936	SNORD13E	15
ENSG00000264737	65719246	65719332	MIR4511	15
ENSG00000204113	74185929	74187153	BMP2KL	X
ENSG00000228492	74202834	74204595	RAB11FIP1P1	X
ENSG00000271533	74209976	74213660	Z83843.1	X
ENSG00000103769	65726054	65891989	RAB11A	15
ENSG00000202566	74218377	74218461	MIR421	X
ENSG00000212027	74218547	74218618	MIR374B	X
ENSG00000283534	74218549	74218618	MIR374C	X
ENSG00000111679	6946468	6961316	PTPN6	12
ENSG00000265727	74242608	74242908	RN7SL648P	X
ENSG00000278421	74274341	74274411	AC004386.6	X
ENSG00000273974	74280402	74280495	AC004386.2	X
ENSG00000275254	74280936	74281082	AC004386.3	X
ENSG00000275625	74281703	74281849	AC004386.4	X
ENSG00000207820	74287104	74287209	MIR545	X
ENSG00000199168	74287286	74287357	MIR374A	X
ENSG00000277922	74293357	74293574	AC004386.5	X
ENSG00000187969	74304180	74305034	ZCCHC13	X
ENSG00000226515	74342713	74342860	AC004386.1	X
ENSG00000213269	74376125	74376885	RPS6P26	X
ENSG00000239745	74390692	74390989	RN7SL790P	X
ENSG00000230665	74396871	74399550	THAP12P1	X
ENSG00000213695	74409518	74410100	RPS7P14	X
ENSG00000257769	15608474	15610563	AC026401.1	16
ENSG00000284184	15611030	15611095	MIR6506	16
ENSG00000104267	85463968	85481493	CA2	8
ENSG00000147100	74421493	74533917	SLC16A2	X
ENSG00000261544	65766460	65767398	AC011939.2	15
ENSG00000204421	31718648	31721746	LY6G6C	6
ENSG00000259924	65771176	65772139	AC011939.1	15
ENSG00000254380	85495693	85540511	AC084734.1	8
ENSG00000249271	65816302	65817481	HNRNPA1P44	15
ENSG00000283249	65843484	65843558	U6	15
ENSG00000231206	74473017	74473953	HNRNPA1P25	X
ENSG00000253680	85617344	85617512	AC093331.1	8
ENSG00000270971	85642777	85646325	REXO1L8P	8
ENSG00000273567	85654684	85658514	REXO1L3P	8
ENSG00000205176	85656442	85663497	REXO1L1P	8
ENSG00000131263	74582976	74614624	RLIM	X
ENSG00000276006	85714922	85715833	REXO1L12P	8
ENSG00000275928	85733419	85737278	REXO1L11P	8
ENSG00000230673	74583088	74583546	PABPC1P3	X
ENSG00000276540	85744543	85748373	REXO1L10P	8
ENSG00000199885	74680053	74680159	RNU6-330P	X
ENSG00000271381	85762909	85766931	REXO1L9P	8
ENSG00000276998	85775106	85779090	REXO1L2P	8
ENSG00000274343	85790382	85794399	AC232323.1	8
ENSG00000270416	85802574	85806435	REXO1L4P	8
ENSG00000277436	85814767	85818783	REXO1L5P	8
ENSG00000277422	85826865	85828467	REXO1L6P	8
ENSG00000050030	74732856	74925472	NEXMIF	X
ENSG00000253154	85833377	85951083	AC100801.1	8
ENSG00000271589	74769639	74769798	AL139395.1	X
ENSG00000285768	85851446	85861562	LINC02849	8
ENSG00000269228	7665717	7666476	RPS27AP19	19
ENSG00000287927	85973793	85977154	AC100801.2	8
ENSG00000147614	85987323	86154225	ATP6V0D2	8
ENSG00000104918	7669049	7670455	RETN	19
ENSG00000227753	86016819	86017126	AC023194.1	8
ENSG00000243761	86043102	86043507	AC023194.2	8
ENSG00000224993	43666766	43667232	RPL29P12	5
ENSG00000249276	43874367	43886628	AC104119.1	5
ENSG00000212561	44066624	44066731	RNU6-381P	5
ENSG00000147613	86047109	86088621	PSKH2	8
ENSG00000213722	31727038	31730617	DDAH2	6
ENSG00000253675	86098965	86154225	AC023194.3	8
ENSG00000146731	56051685	56063989	CCT6A	7
ENSG00000253699	86180418	86212236	AC084128.1	8
ENSG00000070193	44300247	44389706	FGF10	5
ENSG00000183019	7676628	7679826	MCEMP1	19
ENSG00000157890	65895079	66253747	MEGF11	15
ENSG00000163297	79901146	80125454	ANTXR2	4
ENSG00000248464	44388732	44413989	FGF10-AS1	5
ENSG00000249203	44495099	44658569	LINC02224	5
ENSG00000269711	7678501	7682854	AC008763.3	19
ENSG00000164893	86214063	86321146	SLC7A13	8
ENSG00000250418	44698431	44700808	AC093292.1	5
ENSG00000181029	7680833	7687703	TRAPPC5	19
ENSG00000263556	44716193	44716486	RN7SL383P	5
ENSG00000206603	56055365	56055502	SNORA22B	7
ENSG00000207168	56060470	56060602	SNORA15	7
ENSG00000254231	86333274	86343429	AC103760.1	8
ENSG00000251141	44742420	44808777	MRPS30-DT	5
ENSG00000072864	15643267	15734691	NDE1	16
ENSG00000138286	73168119	73244504	FAM149B1	10
ENSG00000236530	80079532	80081122	KPNA2P1	4
ENSG00000244002	80161129	80162011	RPSAP39	4
ENSG00000248719	80182637	80197410	AC021127.1	4
ENSG00000263512	66040233	66040332	MIR4311	15
ENSG00000261318	66278498	66293357	AC055855.2	15
ENSG00000248779	44752949	44765744	AC093297.1	5
ENSG00000213551	73183362	73247255	DNAJC9	10
ENSG00000257084	6963246	6964447	MIR200CHG	12
ENSG00000207713	6963699	6963766	MIR200C	12
ENSG00000207708	6964097	6964191	MIR141	12
ENSG00000271969	6964949	6965382	U47924.1	12
ENSG00000152784	80183879	80204329	PRDM8	4
ENSG00000112996	44808947	44820428	MRPS30	5
ENSG00000283736	15643294	15643372	MIR484	16
ENSG00000262380	15683290	15684570	AC026401.2	16
ENSG00000199201	73192223	73192325	Y_RNA	10
ENSG00000280206	15701237	15702118	AC026401.3	16
ENSG00000227382	73199826	73201225	EIF4A2P2	10
ENSG00000288559	73247342	73248268	AC016394.2	10
ENSG00000236756	73247360	73276984	DNAJC9-AS1	10
ENSG00000272335	44826076	44828592	AC093297.2	5
ENSG00000248148	45035199	45098647	AC114954.1	5
ENSG00000287540	45226286	45228428	AC116350.1	5
ENSG00000182180	73248843	73252693	MRPS16	10
ENSG00000215021	6965327	6970780	PHB2	12
ENSG00000133961	73275107	73458617	NUMB	14
ENSG00000123124	86342547	86478420	WWP1	8
ENSG00000104921	7688758	7702146	FCER2	19
ENSG00000227540	73252791	73254349	DNAJC9-AS1	10
ENSG00000164588	45254948	45696498	HCN1	5
ENSG00000138675	80266599	80336680	FGF5	4
ENSG00000250422	45557919	45559986	AC117529.2	5
ENSG00000250017	45574590	45576612	AC117529.1	5
ENSG00000250122	45890216	45895970	AC122694.1	5
ENSG00000156042	73253759	73358859	CFAP70	10
ENSG00000166938	66293217	66333898	DIS3L	15
ENSG00000197826	80335730	80963750	CFAP299	4
ENSG00000232327	80386178	80388716	AC105917.1	4
ENSG00000152785	81030708	81057627	BMP3	4
ENSG00000213719	31730581	31739763	CLIC1	6
ENSG00000170571	50396192	50443248	EMB	5
ENSG00000182566	7728958	7733906	CLEC4G	19
ENSG00000238795	6967337	6967606	SCARNA12	12
ENSG00000200356	73279062	73279168	RNU6-833P	10
ENSG00000207473	73346936	73347048	Y_RNA	10
ENSG00000260773	66314914	66331703	AC055855.1	15
ENSG00000271455	50603229	50603511	AC112187.2	5
ENSG00000213956	50633124	50633602	AC112187.1	5
ENSG00000288669	7728958	7745662	AC008763.4	19
ENSG00000271752	50662859	50663266	AC112187.3	5
ENSG00000176623	86468257	86514357	RMDN1	8
ENSG00000126749	6970913	6997428	EMG1	12
ENSG00000075131	66336191	66386746	TIPIN	15
ENSG00000285006	73366897	73463642	AC005280.3	14
ENSG00000284930	73458850	73466167	AC005280.2	14
ENSG00000252712	66347207	66347342	SCARNA14	15
ENSG00000223271	66348276	66348375	Y_RNA	15
ENSG00000240821	66379337	66379915	RPL9P25	15
ENSG00000251393	73462362	73477175	AC005280.1	14
ENSG00000138279	73375101	73414076	ANXA7	10
ENSG00000187105	73478484	73558947	HEATR4	14
ENSG00000138669	81087370	81215117	PRKG2	4
ENSG00000233144	73381433	73383496	AL512656.1	10
ENSG00000169032	66386837	66491544	MAP2K1	15
ENSG00000229659	73422259	73422696	RPL26P6	10
ENSG00000131269	75051048	75156732	ABCB7	X
ENSG00000261102	66414933	66415198	ATP5MFP6	15
ENSG00000243404	66446455	66446777	RPL35AP32	15
ENSG00000261351	66488658	66492109	AC116913.1	15
ENSG00000166343	73423579	73433561	MSS51	10
ENSG00000174446	66490135	66497780	SNAPC5	15
ENSG00000204410	31739677	31762676	MSH5	6
ENSG00000170468	73490933	73493394	RIOX1	14
ENSG00000251059	81164922	81193395	PRKG2-AS1	4
ENSG00000258443	73517233	73520648	AC005225.1	14
ENSG00000258695	73522878	73530610	AC005225.3	14
ENSG00000207065	81334303	81334418	RNU5A-2P	4
ENSG00000266589	66496958	66497034	MIR4512	15
ENSG00000111684	6976185	7018477	LPCAT3	12
ENSG00000184227	73537143	73543796	ACOT1	14
ENSG00000151883	50665899	50846519	PARP8	5
ENSG00000258408	73539221	73539781	NT5CP2	14
ENSG00000258603	73555115	73633941	AC005225.2	14
ENSG00000129103	56064002	56080670	SUMF2	7
ENSG00000119673	73567620	73575658	ACOT2	14
ENSG00000250569	86481754	86483002	NTAN1P2	8
ENSG00000094841	75156388	75304885	UPRT	X
ENSG00000254088	86503591	86505061	SLC2A3P4	8
ENSG00000258524	73571159	73571667	NT5CP1	14
ENSG00000279026	73580694	73582918	AC005225.4	14
ENSG00000177465	73591706	73596496	ACOT4	14
ENSG00000107758	73436433	73496024	PPP3CB	10
ENSG00000229661	75201491	75201790	BUD31P2	X
ENSG00000205669	73610945	73619888	ACOT6	14
ENSG00000199601	75202703	75202809	RNU6-562P	X
ENSG00000232186	75326772	75327999	TERF1P7	X
ENSG00000258972	73631475	73632019	NDUFB8P1	14
ENSG00000102383	75368427	75523502	ZDHHC15	X
ENSG00000221817	73495525	73520070	PPP3CB-AS1	10
ENSG00000138670	81426393	82044244	RASGEF1B	4
ENSG00000233254	75384346	75384828	RPL21P134	X
ENSG00000119661	73644875	73703732	DNAL1	14
ENSG00000237089	75537547	75538702	PCNPP4	X
ENSG00000207581	128244721	128244830	MIR199B	9
ENSG00000224775	75582676	75585506	BRAFP1	X
ENSG00000264823	128244947	128245030	MIR3154	9
ENSG00000215105	75740831	75746911	TTC3P1	X
ENSG00000186675	75782987	75785254	MAGEE2	X
ENSG00000174444	66498015	66524532	RPL4	15
ENSG00000233063	75884546	75885136	SAR1AP4	X
ENSG00000226753	75888700	75888888	FOXN3P2	X
ENSG00000226854	75903105	75904858	AL451105.1	X
ENSG00000232332	76029895	76030330	ARL5AP5	X
ENSG00000090659	7739993	7747564	CD209	19
ENSG00000248282	81733385	81734207	MTCYBP44	4
ENSG00000248448	81919995	81920387	COX5BP1	4
ENSG00000252762	81928313	81928439	AC021863.1	4
ENSG00000102390	76173040	76178314	PBDC1	X
ENSG00000248543	82010665	82013095	NPM1P41	4
ENSG00000237252	76222637	76223097	MMADHCP1	X
ENSG00000250826	82128535	82129656	HNRNPA3P13	4
ENSG00000201826	76244968	76245074	RNU6-867P	X
ENSG00000274398	76250183	76251796	AC233981.1	X
ENSG00000202485	82174547	82174653	RNU6-499P	4
ENSG00000234568	82275071	82276600	BIN2P1	4
ENSG00000213684	76334841	76335845	LDHBP2	X
ENSG00000166348	73497538	73625953	USP54	10
ENSG00000284516	82284971	82340013	VAMP9P	4
ENSG00000198934	76427710	76431342	MAGEE1	X
ENSG00000223259	76655009	76655127	RNA5SP508	X
ENSG00000273156	82344876	82346842	AC124016.2	4
ENSG00000235447	76655498	76656559	TRAPPC13P1	X
ENSG00000280870	76656866	77014532	MIR325HG	X
ENSG00000085719	86514435	86561498	CPNE3	8
ENSG00000251907	73659564	73659660	RNU6-240P	14
ENSG00000258660	73698103	73700351	AC006146.1	14
ENSG00000283242	76919273	76919360	MIR384	X
ENSG00000207995	77005404	77005501	MIR325	X
ENSG00000201447	77066709	77066827	RNA5SP509	X
ENSG00000176903	73711783	73714384	PNMA1	14
ENSG00000234404	77374212	77381319	SPRYD7P1	X
ENSG00000196468	77447389	77457278	FGF16	X
ENSG00000199574	66501250	66501318	SNORD18C	15
ENSG00000280554	66502019	66502089	AC116913.2	15
ENSG00000202529	66502020	66502091	SNORD18B	15
ENSG00000199673	66502812	66502910	SNORD16	15
ENSG00000200623	66503243	66503314	SNORD18A	15
ENSG00000170289	86553977	86743675	CNGB3	8
ENSG00000242636	7750684	7751161	RPL21P129	19
ENSG00000164776	56080283	56092996	PHKG1	7
ENSG00000207327	73529051	73529157	RNU6-883P	10
ENSG00000237139	73537803	73538391	RPS26P41	10
ENSG00000268584	73625996	73626790	AC073389.1	10
ENSG00000272791	73630556	73631490	AC073389.3	10
ENSG00000104938	7763210	7769605	CLEC4M	19
ENSG00000253292	86593755	86594589	MIOXP1	8
ENSG00000205333	86657388	86660293	GOLGA2P1	8
ENSG00000233915	86660525	86661922	UBE2Q2P10	8
ENSG00000254115	86707547	86765023	AC090572.3	8
ENSG00000182326	6988259	7071032	C1S	12
ENSG00000177791	73631612	73641474	MYOZ1	10
ENSG00000253778	86765935	86818558	AC090572.2	8
ENSG00000253568	86776479	86776638	AC090572.1	8
ENSG00000106153	56101573	56106476	CHCHD2	7
ENSG00000166317	73644881	73663803	SYNPO2L	10
ENSG00000156030	73715122	73790285	MIDEAS	14
ENSG00000176571	86866415	87615219	CNBD1	8
ENSG00000185290	56114681	56116417	NUPR2	7
ENSG00000271848	73653980	73675450	AC073389.2	10
ENSG00000167110	128255829	128275995	GOLGA2	9
ENSG00000230191	56163145	56163533	IFITM3P4	7
ENSG00000233028	56175634	56176412	AC006970.1	7
ENSG00000285670	56214979	56220747	AC006970.2	7
ENSG00000227491	56228634	56229782	CCNJP1	7
ENSG00000223559	56288230	56291425	AC073136.1	7
ENSG00000268297	7787549	7790621	CLEC4GP1	19
ENSG00000224155	56304678	56305526	AC073136.2	7
ENSG00000269763	7813615	7814425	EXOSC3P2	19
ENSG00000203462	56322804	56323601	AC093392.1	7
ENSG00000202296	56340231	56340337	RNU6-1335P	7
ENSG00000231299	56360362	56360541	SEPTIN14P24	7
ENSG00000225371	56362458	56365270	CICP8	7
ENSG00000224370	56380976	56381312	AC093392.2	7
ENSG00000264741	73758747	73758819	MIR4505	14
ENSG00000223330	56402070	56402173	RNU6-1052P	7
ENSG00000259065	73787355	73803300	AC005520.2	14
